V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-9,V-10
19.00,540.00,140.00,37.80,70.00,372.41,7.00,420.00,570.00,100.00
19.00,1650.00,430.00,297.00,180.00,433.72,5.00,490.00,580.00,200.00
19.00,1820.00,470.00,382.20,210.00,379.13,5.00,720.00,980.00,300.00
19.00,2690.00,590.00,591.80,220.00,339.07,6.00,1000.00,1300.00,330.00
19.00,1600.00,410.00,368.00,230.00,295.21,5.00,1500.00,1600.00,300.00
20.00,14500.00,4870.00,3480.00,240.00,303.50,11.00,750.00,700.00,350.00
20.00,5500.00,1760.00,1100.00,200.00,341.04,6.00,670.00,900.00,300.00
20.00,14500.00,5000.00,580.00,40.00,237.03,7.00,220.00,300.00,60.00
20.00,1560.00,520.00,624.00,400.00,422.60,6.00,2300.00,2000.00,450.00
20.00,810.00,250.00,32.40,40.00,274.06,5.00,570.00,720.00,50.00
20.00,840.00,190.00,67.20,80.00,273.55,8.00,650.00,840.00,120.00
20.00,1070.00,280.00,160.50,150.00,290.58,6.00,1500.00,2100.00,240.00
20.00,1060.00,330.00,21.20,20.00,205.31,4.00,210.00,280.00,30.00
20.00,1390.00,360.00,41.70,30.00,206.95,4.00,350.00,400.00,40.00
20.00,560.00,220.00,22.40,40.00,319.47,3.00,350.00,400.00,50.00
20.00,580.00,150.00,104.40,180.00,348.70,7.00,1400.00,2100.00,300.00
20.00,2350.00,610.00,423.00,180.00,324.97,4.00,860.00,1100.00,220.00
20.00,910.00,240.00,163.80,180.00,277.42,6.00,960.00,1200.00,270.00
20.00,830.00,260.00,41.50,50.00,287.51,4.00,600.00,730.00,60.00
20.00,1590.00,410.00,333.90,210.00,323.66,5.00,1100.00,1300.00,290.00
20.00,1170.00,300.00,163.80,140.00,337.33,6.00,510.00,630.00,160.00
20.00,3080.00,680.00,215.60,70.00,238.51,5.00,850.00,1000.00,100.00
20.00,1120.00,290.00,190.40,170.00,306.91,5.00,1600.00,2200.00,240.00
20.00,810.00,250.00,32.40,40.00,275.94,4.00,390.00,450.00,50.00
20.00,870.00,230.00,208.80,240.00,308.05,5.00,1300.00,1400.00,320.00
20.00,2310.00,600.00,531.30,230.00,303.30,4.00,1400.00,1600.00,280.00
20.00,1370.00,360.00,191.80,140.00,271.21,5.00,1200.00,1700.00,220.00
20.00,3400.00,750.00,714.00,210.00,323.66,6.00,2200.00,2700.00,310.00
20.00,2100.00,600.00,210.00,100.00,288.37,10.00,640.00,970.00,190.00
20.00,1840.00,420.00,220.80,120.00,263.61,5.00,1500.00,1900.00,170.00
20.00,1520.00,350.00,212.80,140.00,310.61,13.00,1200.00,2100.00,300.00
20.00,2500.00,510.00,325.00,130.00,251.84,6.00,1100.00,1600.00,200.00
20.00,900.00,250.00,45.00,50.00,278.32,7.00,350.00,480.00,70.00
20.00,1350.00,350.00,108.00,80.00,251.37,9.00,830.00,1100.00,150.00
20.00,600.00,150.00,36.00,60.00,299.55,6.00,570.00,740.00,80.00
20.00,1900.00,430.00,285.00,150.00,364.41,7.00,640.00,860.00,220.00
20.00,510.00,160.00,30.60,60.00,245.28,9.00,790.00,1100.00,110.00
20.00,890.00,230.00,35.60,40.00,237.03,6.00,350.00,460.00,50.00
